,netG,netD
0,0.37613046509132053,0.4466485663464195
1,0.3488203072757052,0.2707945548912935
2,0.34186625872787674,0.1445974967066656
3,0.3128024096551694,0.08865841465038166
4,0.27593455790427696,0.061847863490121405
5,0.2551111522735211,0.15726191226981187
6,0.2448435734238541,0.05162562750149192
7,0.23877871507092527,0.1019608532650429
8,0.23292259309898344,0.046863876103439873
9,0.22872746278319442,0.031392250781911504
10,0.22648367220372484,0.023599723934016208
11,0.2238384585892945,0.09356227659277226
12,0.22074060311965776,0.2140602340039454
13,0.21865872450565038,0.219508199446034
14,0.2174336710258534,0.20054425949459537
15,0.21617207127182106,0.04000711947548808
16,0.2148188654529421,0.02173018285579849
17,0.21323454850598386,0.23960703523960292
18,0.21182892445409507,0.248542751136579
19,0.211381527546205,0.24376615594353593
